id,name,org_type,effort
0,EcoCentre,Target,
1,3CR,Community Organization,
2,3RRR Radio Marinara,Community Organization,10.0
3,3WBC,Business,5.0
4,Aesop,Business,10.0
5,AGL Energy,Business,10.0
6,Albert Park College,Education,5.0
7,Albert Park Primary School,Education,10.0
8,Animal Liberation Victoria,Community Organization,5.0
9,Association of Bayside Municipalities,Community Organization,10.0
10,Australian Coastal Society,Community Organization,5.0
11,Australian Landcare International,Community Organization,5.0
12,Australian Marine Conservation Society,Community Organization,5.0
13,Australian Marine Mammal Conservation Foundation,Community Organization,5.0
14,Bayside City Council,Local Government,30.0
15,Bayside Climate Change Action Group,Community Organization,5.0
16,Beach Patrol Australia,Community Organization,30.0
17,Bellarine Catchment Network,Community Organization,20.0
18,Biofilta,Business,
19,Boon Wurrung Foundation,Community Organization,40.0
20,Brighton Sea Scouts,Community Organization,40.0
21,Carbon Arts,Community Organization,5.0
22,Catholic Education Melbourne,Education,40.0
23,Centre for Education and Research in Environmental Strategies (CERES),Community Organization,30.0
24,Christ Church Community Centre,Community Organization,5.0
25,City of Monash,Local Government,5.0
26,City of Port Phillip,Local Government,120.0
27,City of Stonnington,Local Government,10.0
28,City of Wyndham,Local Government,5.0
29,City of Yarra Ranges,Local Government,5.0
30,Clean Up Australia,Community Organization,5.0
31,Coastcare Victoria,State Government,30.0
32,Community Information Glen Eira,State Government,5.0
33,Cool Australia,Community Organization,5.0
34,Deakin University,Education,30.0
35,"Department of Environment, Land, Water and Planning",State Government,120.0
36,Desert Discovery Inc,Community Organization,5.0
37,Diver Matt,Other,
38,Divercity,Community Organization,20.0
39,Dolphin Research Institute,Community Organization,20.0
40,Earthcare St. Kilda,Community Organization,30.0
41,Earthsong,Community Organization,
42,Elwood and St Kilda Neighbourhood Learning Centre,Community Organization,5.0
43,Elwood Community Bank Branch,Business,5.0
44,Elwood Flood Action Group (eFLAG),Community Organization,5.0
45,Environment Education Victoria (former VAEE),Community Organization,40.0
46,Environmental Protection Authority Victoria,State Government,50.0
47,Environmental Resource Management (ERM) Foundation,Trust/Foundation/Foundation,10.0
48,Frankston City Council,Local Government,10.0
49,Friends of Barwon Bluff,Community Organization,10.0
50,Friends of Elster Creek,Community Organization,50.0
51,Friends of Greenwich Bay,Community Organization,10.0
52,Friends of McCrae Foreshore,Community Organization,10.0
53,Friends of Westgate Park,Community Organization,30.0
54,Friends of Williamstown Wetlands,Community Organization,20.0
55,Gardenvale Primary School,Education,10.0
56,Geography Teachers' Association of Victoria,Other,20.0
